"","X","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q7Bid2Upper","Q7Bid2Lower","Q7TreatmentUpperResponse","Q7TreatmentLowerResponse","Q8DominatedTest","Q9Block","Q9Performance","Q9Emission","Q9Price","Q10Block","Q10Performance","Q10Emission","Q10Price","Q11Block","Q11Performance","Q11Emission","Q11Price","Q12Block","Q12Performance","Q12Emission","Q12Price","Q9Choice","Q10Choice","Q11Choice","Q12Choice","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","IncomeDummy","Q1WTP","Q2WTP","Q1WTPLower","Q2WTPLower","Q1WTPUpper","Q2WTPUpper","Q1LV","Q2LV","LVQuantilesQ1","LVQuantilesQ2"
"171",171,171,511,0,0,47.5,35,2,2,100,10,0,2,1,2,6,NA,1,NA,0,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,0,1,0,0,2,2,2,4,2,1,0,0,0,0,1,3,2,4,2,1,1,1750,9,20,1,0,47.5096980098985,77.6798327081894,-2374.51032399104,-55.6016703334668,3650.51091427811,4652.24424199068,1.54417702950529,2.02821403811737,2,3
"172",172,172,337,0,1,47.5,1,3,3,80,40,1,2,1,2,10,NA,1,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,3,0.05,0.1,5,1,1,1,1,1,4,5,4,0,1,1,1,0,0,0,4,2,4,1,5,1,1750,10,80,1,0,41.4758399453377,72.7955743647213,-2269.23768286626,-18.4150939771882,4304.42475814215,4336.07119616063,3.46698790594796,2.87159805840098,5,5
"173",173,173,514,0,1,63,50,1,2,40,100,0,2,0,2,NA,10,NA,0,0,0,0.5,0.4,5,1,0.05,0.4,2.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,0,1,1,0,2,3,4,5,2,1,1,1,1,1,0,3,0,4,1,2,0,1750,7,50,0,0,45.3752823370868,75.7366493529207,-2500.33921930758,-20.2392682148561,5024.37302339763,5377.8902672182,1.75279580416197,1.69761478890753,3,3
"174",174,174,254,1,1,63,15.5,2,2,5,90,1,1,0,1,NA,8,NA,1,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,0,1,1,0,0,3,3,4,0,1,0,1,0,0,0,3,1,3,3,6,0,5000,6,45,1,1,39.8439907047019,71.2234532520316,-3553.78545583507,-116.207366818842,3316.27972789775,4416.99488342608,2.25263643678638,1.26017471748136,3,2
"175",175,175,455,1,0,47.5,50,0,3,40,80,1,1,0,0,NA,7,NA,1,0,1,0.5,0.9,1,1,0.05,0.4,2.5,3,0.05,0.9,0.5,3,0.05,0.1,5,1,1,1,0,1,3,3,4,0,1,1,0,0,0,0,4,1,3,2,4,1,3500,10,40,1,1,35.278780482748,64.0773790683113,-1548.54784250017,-68.5272023979286,2820.13960814379,5289.42516837646,2.50557685920179,1.15682535665587,4,2
"176",176,176,308,0,0,47.5,50,1,2,80,90,0,2,0,1,NA,8,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,1,0,0,2,2,3,4,2,1,0,0,0,0,0,4,2,4,3,5,0,1750,10,45,0,0,56.1575450135796,85.5350994940615,-1887.91503861806,-166.05891933233,3465.29352350974,4853.75227146521,1.63997466016256,1.34978166111878,3,2
"177",177,177,532,0,0,47.5,50,2,2,5,10,0,1,1,1,6,NA,1,NA,1,1,0.5,0.9,1,0,0.1,0.1,0.5,3,0.05,0.9,0.5,3,0.05,0.1,5,1,1,1,1,1,5,4,5,0,1,1,1,1,0,0,2,1,4,2,4,1,750,9,20,1,0,42.3565542634039,75.3470240621107,-4030.51298904422,-61.3082021902655,5733.24552848261,4670.57965459274,1.64293401189366,3.06932479512932,3,5
"178",178,178,501,0,0,47.5,50,1,2,60,90,0,0,1,1,5,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,1,0,1,3,3,3,2,1,1,1,1,0,0,2,1,3,1,6,1,750,9,180,0,0,39.3773477769465,71.1141990134242,-2639.12964321012,-124.800684447506,3112.53560008056,4738.88055946526,1.42192008233597,2.49985241422125,2,4
"179",179,179,431,1,1,32.5,50,2,4,90,100,1,2,1,2,7,NA,1,NA,1,2,0.05,0.1,5,2,0.05,0.4,0.5,3,0.05,0.9,0.5,0,0.5,0.1,0.5,1,1,1,1,2,5,3,5,1,1,0,0,0,0,1,2,2,5,1,6,0,2750,10,200,1,1,45.8790836711156,77.9343690031087,-1709.41958182033,-41.0180010667586,3041.8444771522,4320.86067034954,3.59122956689064,3.28971675788195,5,5
"180",180,180,548,1,1,63,1,2,1,60,20,0,2,0,2,NA,0,NA,0,0,1,0.5,0.9,1,3,0.05,0.1,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,0,0,0,0,2,3,3,3,0,1,0,0,0,0,0,2,1,3,1,1,0,1250,10,10,0,0,34.0712332462296,61.9106599945119,-5110.29939852409,-958.462292521279,4770.95262467384,4668.81943149832,1.19843762840947,0.850340591426525,2,2
"181",181,181,423,1,0,63,6.5,1,2,80,60,1,1,1,2,2,NA,1,NA,1,2,0.05,0.1,5,2,0.05,0.4,0.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,1,1,1,1,1,4,4,5,0,1,0,1,1,0,0,3,1,2,3,2,1,1750,9,120,1,0,41.1945388756077,73.3053017386722,-4284.72435096605,-184.81212057996,3774.04886064455,4027.44739584063,3.37503347268791,2.81136098212591,5,4
"182",182,182,204,1,0,21.5,6.5,2,5,100,40,0,1,1,1,10,NA,0,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,1,2,4,5,5,1,1,1,0,0,0,0,5,2,4,3,1,0,1250,10,80,0,0,43.8356908136882,78.0117914167866,-4241.01340822554,-156.487418225486,2538.49614969745,4198.81180542837,2.57188420649148,3.33020728043799,4,5
"183",183,183,374,0,0,63,50,3,1,100,20,0,2,0,2,NA,0,NA,0,1,1,0.5,0.9,1,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0,1,0,5,1,6,0,2750,10,10,0,1,41.9324905110195,74.5214310947624,-2572.78682535849,-26.5556928325502,5059.8731450978,4863.25402365968,0.020747592663105,-0.213975997784797,1,1
"184",184,184,505,1,1,32.5,6.5,2,3,20,80,0,0,0,1,NA,7,NA,1,1,1,0.5,0.9,1,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,1,1,0,1,0,3,4,5,1,1,0,1,1,0,0,3,2,3,2,1,0,250,8,40,1,0,38.0049355934258,68.7998349285954,-2222.01693044463,-29.71378793132,4874.26252889327,4907.81653876118,1.59280876573503,1.58138218509824,3,3
"185",185,185,1020,1,0,47.5,15.5,0,3,90,80,1,0,1,0,4,NA,0,NA,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,3,0.05,0.1,5,0,1,1,0,1,3,3,5,0,1,0,0,0,0,0,3,2,4,1,1,0,750,10,160,0,0,39.9337993349045,70.2773637212743,-2625.3726133339,-192.431301254203,3109.9148926242,3759.37003605293,3.40201990352113,2.810534631803,5,4
"186",186,186,233,1,0,32.5,35,1,3,5,10,1,2,1,1,6,NA,1,NA,0,3,0.1,0.1,2.5,1,0.05,0.4,2.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,2,4,5,5,1,1,1,1,1,0,1,3,2,4,2,6,1,2750,10,20,1,1,40.5432080677566,73.0769190861224,-4527.29962210146,-112.069576294507,3748.66293565633,4668.8400218204,3.67906859082515,3.480355368006,5,5
"187",187,187,275,0,1,21.5,50,1,3,40,20,0,2,0,1,NA,0,NA,0,1,2,0.05,0.1,5,3,0.05,0.1,2.5,3,0.05,0.9,0.5,0,0.5,0.1,0.5,1,0,0,0,2,2,4,3,1,1,1,1,0,0,0,2,1,2,2,4,2,4500,5,10,0,1,41.6641496798002,70.806349931994,-3374.59614639376,-99.6543624748981,5125.85212535205,5036.26522822289,1.06994837644203,0.651194579376327,1,1
"188",188,188,380,1,1,63,15.5,1,3,5,60,1,0,1,1,2,NA,0,NA,1,1,0.5,0.9,1,1,0.05,0.4,2.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,1,1,1,1,1,4,5,5,1,0,0,1,0,0,0,4,2,4,2,5,1,3500,10,120,0,1,44.2853406068807,78.0025229473773,-2433.11577834753,-26.4843896486107,3013.68022057977,4593.96527412125,3.50363183401939,3.37875672681416,5,5
"189",189,189,310,0,0,47.5,6.5,1,3,40,20,0,0,1,0,8,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,0,0,1,3,4,4,1,1,0,0,0,0,0,3,1,3,3,1,1,250,8,40,0,0,37.3605260646105,67.1533870202395,-4697.14643667568,-285.516893286651,4671.72894571656,4521.33750688633,1.71846674301677,2.32404799336021,3,4
"190",190,190,349,0,1,47.5,50,1,4,100,10,0,1,1,0,6,NA,0,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,1,0,1,3,3,4,0,1,0,1,0,0,0,4,0,3,3,6,0,4500,8,20,0,1,43.2785262993183,74.4832201763057,-4066.2133675969,-171.371721520859,2781.38554510012,3761.639377217,1.36891322195087,1.74470782246509,2,3
"191",191,191,1054,1,1,47.5,35,1,3,80,40,0,1,1,1,10,NA,0,NA,1,1,0.5,0.9,1,2,0.05,0.4,0.5,3,0.05,0.9,0.5,3,0.05,0.1,5,1,1,1,1,1,4,4,4,0,1,0,1,0,0,0,2,0,3,4,4,1,1250,8,80,0,0,38.8367378678407,70.7541078428872,-3261.6193065672,-130.611403678921,3560.10885960805,4898.9787400619,1.83306003557007,2.31342676262407,3,4
"192",192,192,1070,1,0,47.5,50,0,3,60,40,0,1,0,0,NA,3,NA,1,0,2,0.05,0.1,5,1,0.05,0.4,2.5,2,0.1,0.9,5,3,0.05,0.1,5,0,1,0,0,0,3,3,5,0,1,1,1,1,0,0,2,1,3,1,1,0,1250,10,20,1,0,36.3639932507168,64.8963961131555,-2176.12349590587,-4.20076357065365,3435.07690838099,4880.03785071403,1.60490000295568,1.10393154039532,3,2
"193",193,193,241,0,1,47.5,50,1,3,100,40,1,1,1,1,10,NA,0,NA,1,2,0.05,0.1,5,1,0.05,0.4,2.5,3,0.05,0.9,0.5,2,0.1,0.4,1,1,1,1,1,1,4,4,3,1,0,0,1,0,0,0,3,2,3,1,6,1,750,9,80,0,0,40.2629132295728,71.8671212776028,-568.014374482159,-41.9185181143817,6450.53800929762,5211.1366002594,3.20606653445047,2.26243509071025,5,3
"194",194,194,940,0,1,47.5,6.5,3,3,20,60,1,1,0,2,NA,5,NA,1,0,0,0.5,0.4,5,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,1,0,1,2,1,2,4,2,1,0,0,0,0,0,4,1,5,2,6,0,2750,10,30,1,1,45.0143405070755,77.1064417886802,-2191.12936769129,-90.2048160123879,2810.61208276073,4538.37711657116,2.28762715191026,1.01207178162167,3,2
"195",195,195,258,1,1,21.5,35,2,2,40,20,0,1,1,1,8,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,3,0.05,0.1,5,1,1,1,1,1,2,3,4,1,1,0,1,0,0,0,2,2,4,3,6,0,1750,8,40,0,0,42.0190525317975,74.7694976789868,-2292.80150226136,-9.54805957761955,4115.03741771353,4459.53882451105,1.30656027781322,1.86353174800236,2,3
"196",196,196,303,1,1,32.5,50,1,3,20,20,0,2,0,2,NA,0,NA,0,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,3,0.05,0.1,5,0,0,0,0,2,3,3,3,0,1,1,1,0,0,0,3,2,3,3,6,0,2250,7,10,0,1,35.0140668381459,61.3039161135496,-2481.40762577107,-62.5549803493943,4650.99178937714,4463.06490349556,0.941906151799583,0.593696483461458,1,1
"197",197,197,308,0,1,47.5,6.5,0,3,60,40,0,2,0,2,NA,3,NA,0,0,2,0.05,0.1,5,0,0.1,0.1,0.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,2,1,1,1,2,0,0,0,0,1,0,3,0,3,2,6,1,3500,7,20,0,1,42.1355285158788,69.0161816553706,-1606.74762273504,-49.0722751784729,4935.36611382767,4819.45671439981,0.0327547875617405,-0.222203625151459,1,1
"198",198,198,189,1,1,32.5,35,1,5,40,100,1,2,0,1,NA,10,NA,1,0,3,0.1,0.1,2.5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,0,1,0,2,5,4,3,2,1,0,1,0,0,1,5,2,5,4,6,1,2750,10,50,1,1,45.7180567097688,77.7683640565428,-1239.12266989802,-40.172955564457,4895.43219069288,4301.51794952358,3.38930354081908,1.74030653054967,5,3
"199",199,199,442,0,0,32.5,35,1,2,20,20,1,1,1,2,8,NA,1,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,2,0.1,0.4,1,0,1,1,1,1,3,4,5,1,1,1,1,1,0,0,3,2,2,3,6,0,1750,9,40,1,0,38.4303008554254,69.7117982843623,-4775.51019428327,-232.69786093765,3264.49943847036,4499.12005472133,2.73684035431719,2.30282416339793,4,4
"200",200,200,287,1,0,47.5,50,3,1,40,90,0,2,1,2,5,NA,0,NA,0,1,0.5,0.9,1,0,0.1,0.1,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,0,0,0,0,2,1,1,3,0,1,0,1,0,0,0,1,1,3,1,5,1,5000,10,180,0,1,38.4703798714778,68.0980561883585,-3901.24657083744,-136.729305716765,1950.48409921005,4376.92641665926,-0.0380848219834118,2.32459398365582,1,4
"201",201,201,421,0,1,21.5,50,1,3,5,60,1,1,1,2,2,NA,1,NA,0,0,0.5,0.4,5,1,0.05,0.4,2.5,1,0.05,0.1,1,2,0.1,0.4,1,1,0,1,0,1,3,2,4,1,0,1,1,0,0,1,2,2,3,3,4,1,2250,6,120,1,1,44.6554517787855,77.9962049608158,-4713.13251353283,-168.531359221456,2140.63480737676,3908.37167600702,2.05653002863397,2.01053513798447,3,3
"202",202,202,501,0,0,21.5,35,0,5,10,100,0,2,0,0,NA,10,NA,1,0,2,0.05,0.1,5,3,0.05,0.1,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,1,1,0,2,4,5,5,1,1,0,1,1,0,1,5,1,4,3,3,1,2250,10,50,1,1,45.1507787715592,78.4058612536735,-1442.86114269701,-42.2007640416468,3521.01136825936,4641.7295719496,1.5059077775666,1.7645162941272,2,3
"203",203,203,432,0,0,21.5,15.5,1,2,60,5,0,1,1,1,0,NA,1,NA,1,0,0.5,0.4,5,3,0.05,0.1,2.5,1,0.05,0.1,1,3,0.05,0.1,5,1,1,1,1,1,4,4,4,1,0,1,1,0,1,0,2,0,4,2,4,1,250,9,10,1,0,41.8623124714915,75.7692052954109,-1481.70504275372,-21.5446114179564,4342.90684382381,4015.1617031138,1.93404772336413,2.48369895762706,3,4
"204",204,204,437,0,1,63,1,1,2,60,90,0,2,0,2,NA,8,NA,0,0,3,0.1,0.1,2.5,0,0.1,0.1,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,0,0,0,2,4,5,5,0,1,1,1,1,0,0,2,1,3,0,1,0,3500,10,45,0,1,47.7061594893192,78.4506963283147,-2454.89692401328,-93.885879753692,2943.5873899976,4677.06801430813,2.06869582021365,1.81978043473901,3,3
"205",205,205,392,1,0,47.5,35,3,2,80,100,0,1,0,2,NA,10,NA,1,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,3,0.05,0.1,5,0,1,1,0,2,3,4,5,0,0,0,1,0,0,1,2,2,4,3,1,1,250,7,50,1,0,45.1447345331011,76.5895757588435,-2248.37367006527,-18.5900310411313,2807.12223945129,4374.70053994743,2.19723511352713,1.90255140460412,3,3
"206",206,206,368,0,1,47.5,50,1,2,80,90,0,2,0,2,NA,8,NA,0,0,3,0.1,0.1,2.5,1,0.05,0.4,2.5,1,0.05,0.1,1,2,0.1,0.4,1,0,0,0,0,2,3,3,3,1,1,0,0,0,0,0,2,1,3,2,6,0,5000,10,45,0,1,45.4124891346328,73.2291157833675,-3139.18323916726,-33.67850377097,3081.74125147744,4583.18127716066,1.26381662564299,1.01325149049337,2,2
"207",207,207,419,0,0,32.5,35,3,4,20,40,0,1,1,1,10,NA,0,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,1,1,1,1,4,4,4,1,1,1,1,1,0,1,4,2,3,3,6,0,1250,10,80,0,0,40.5293452206058,72.7031135305137,-1590.02251307569,-21.9458709123641,4722.0934548812,4854.46554108647,1.72104566103399,2.56326772376056,3,4
"208",208,208,315,1,1,32.5,50,1,2,40,40,1,1,1,1,10,NA,1,NA,1,2,0.05,0.1,5,1,0.05,0.4,2.5,3,0.05,0.9,0.5,2,0.1,0.4,1,1,1,1,1,2,4,4,4,0,1,0,1,1,0,1,2,2,4,1,5,1,2250,7,80,1,1,41.1899675003279,73.3866199183211,-373.493056091152,-8.5566575081019,5020.80363321143,5091.50495836746,2.85788563807974,2.55545548995006,4,4
"209",209,209,347,1,0,47.5,50,1,4,5,20,1,0,0,1,NA,0,NA,1,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,1,1,5,5,5,1,1,1,1,1,0,1,4,2,3,4,6,1,2250,9,10,1,1,42.8755021746527,77.2397508071689,-5159.63155873154,-1050.38711572883,2489.83812839484,4181.03760416362,3.82643211234822,1.26547765819492,5,2
"210",210,210,458,1,1,63,1,3,3,5,90,1,2,1,2,5,NA,1,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,0,0.5,0.1,0.5,1,1,1,1,1,5,5,5,1,1,1,1,1,0,1,3,2,5,3,6,0,3500,10,180,1,1,42.3617240575237,74.7074055058789,-5230.49898625422,-930.2192467266,3725.9679102007,4325.37777219108,4.45179760043639,4.22323749900504,5,5
"211",211,211,256,1,0,32.5,50,1,1,40,20,0,1,0,0,NA,0,NA,0,0,0,0.5,0.4,5,1,0.05,0.4,2.5,1,0.05,0.1,1,3,0.05,0.1,5,0,0,0,0,0,3,3,3,0,1,0,0,0,0,0,2,1,3,1,1,0,1750,5,10,0,0,35.1892530685917,63.7615932497502,-5012.68398701245,-1352.62739992283,3369.76263311707,4802.43592536755,1.12002658280185,0.646658908242686,2,1
"212",212,212,263,0,0,47.5,35,2,4,60,80,0,2,0,2,NA,7,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,2,0.1,0.4,1,0,0,0,0,2,3,4,4,1,0,0,1,0,0,0,3,1,3,2,1,1,1250,10,40,0,0,44.7523604603364,72.9783067335056,-1100.86398727101,-110.900485691871,4136.94669728339,4769.35761086729,1.78741400322052,1.47856296741018,3,3
"213",213,213,452,0,1,63,15.5,3,2,5,100,1,2,0,2,NA,10,NA,0,0,3,0.1,0.1,2.5,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,0,1,1,1,1,3,1,0,0,0,1,0,0,3,1,5,2,2,0,2750,10,50,0,1,42.710301231451,72.3309137736111,-1457.47771054851,-87.5456880122052,3908.12149378542,4521.64729473853,2.1241255292489,0.689151937937997,3,1
"214",214,214,274,1,1,47.5,6.5,3,3,40,20,1,1,1,1,8,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,1,0.05,0.1,1,3,0.05,0.1,5,1,1,1,0,1,3,4,5,1,1,1,1,1,0,0,3,1,4,3,6,0,3500,7,40,1,1,35.4232625004246,65.4544907936519,-4411.85075393213,-559.677823511985,2555.15771520101,4167.42427048838,2.9164756290242,2.61983260792281,4,4
"215",215,215,135,1,0,32.5,50,0,1,90,80,0,0,0,0,NA,7,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,0,3,4,4,1,1,1,1,1,0,0,1,0,3,3,4,1,1250,6,40,0,0,39.5379848262173,71.043450922204,-765.033048696751,-22.9458608536371,4579.720564562,4556.9141340881,1.79862227704637,1.26826958085363,3,2
"216",216,216,587,1,0,63,35,3,4,80,90,1,1,1,1,5,NA,0,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,1,0,4,4,5,2,1,1,1,1,0,0,3,1,1,1,6,0,2750,5,180,0,1,40.8173358021638,73.9503105595743,-2876.21511433446,-35.3049917743142,2109.94081551021,4258.43912820115,3.13375112009019,2.87294501823914,4,5
"217",217,217,1002,1,0,63,50,2,1,100,40,0,0,0,0,NA,3,NA,1,0,0,0.5,0.4,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,1,0,0,0,3,4,4,1,1,1,1,1,0,0,3,1,2,1,2,0,750,8,20,1,0,41.6679478112527,72.9358525523783,-1896.62515092102,-33.6908509580969,6873.57345790241,5679.31032920393,1.71648312185026,1.16243823804902,3,2
"218",218,218,202,1,0,32.5,35,3,3,80,10,0,0,1,1,6,NA,0,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,0,0,0,1,3,3,4,2,1,0,0,0,0,0,3,2,3,4,6,0,1750,9,20,0,0,41.2331884719864,70.3346875455843,-1209.47468767824,-116.141550868062,2481.52392540691,4401.00558559911,1.69600005068821,2.0506358086188,3,3
"219",219,219,314,0,1,21.5,50,1,2,80,20,0,2,0,2,NA,0,NA,1,0,2,0.05,0.1,5,3,0.05,0.1,2.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,0,0,0,1,1,2,2,1,1,1,1,1,0,0,3,1,3,3,6,0,2250,8,10,1,1,43.857499335789,75.054320017326,-4971.97759018663,-471.641170789849,2738.10676636865,4469.90359274803,0.201468963408567,-0.0650142211967423,1,1
"220",220,220,467,1,1,21.5,15.5,2,4,60,20,0,2,1,1,8,NA,0,NA,1,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,1,0,0,1,3,4,4,1,1,0,1,1,0,0,4,2,4,2,4,1,250,7,40,0,0,45.9082235466497,78.924137211717,-2834.09548328276,-27.1342536437695,2709.04566217457,4276.66628336082,1.82387114446859,2.28902082433228,3,4
"221",221,221,277,0,0,21.5,15.5,3,3,5,10,1,2,1,2,6,NA,1,NA,0,2,0.05,0.1,5,0,0.1,0.1,0.5,3,0.05,0.9,0.5,3,0.05,0.1,5,1,1,1,1,1,2,3,4,1,1,1,1,1,0,1,2,2,4,2,3,1,250,10,20,1,0,39.4092619523767,70.5075388284162,-1950.01325076939,-62.4769141777472,3599.62208445014,4499.39021522806,2.55744280459964,2.0375027441554,4,3
"222",222,222,164,0,0,21.5,6.5,1,2,100,90,1,2,1,2,5,NA,1,NA,1,2,0.05,0.1,5,1,0.05,0.4,2.5,3,0.05,0.9,0.5,2,0.1,0.4,1,0,1,1,1,2,4,3,4,1,0,1,0,0,0,1,2,2,3,2,5,1,750,5,180,1,0,42.3946632895432,75.2175927484136,-2444.53767696103,-38.7408198908781,4039.39219146319,4428.55088855857,3.45306475419064,2.7488681955453,5,4
"223",223,223,445,1,0,63,50,1,3,90,10,1,2,1,2,6,NA,1,NA,0,3,0.1,0.1,2.5,1,0.05,0.4,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,1,0,1,1,3,3,4,2,1,1,1,1,0,1,3,1,4,1,2,1,5000,10,20,1,1,41.799385490165,72.292120223689,-2473.24510084802,-36.4666639791493,4610.83816177377,5171.09835249405,3.17044741944923,2.26965784307923,4,4
"224",224,224,538,0,0,47.5,35,3,3,40,100,0,1,0,2,NA,10,NA,0,0,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,0,1,1,3,4,3,1,1,1,1,1,0,1,2,2,2,2,6,1,750,8,50,0,0,43.0709108171505,74.4552544541554,-1787.42389287637,-17.1187445913347,1889.70361471049,4444.91103060085,1.4974819456353,1.36861848577401,2,2
"225",225,225,193,1,0,32.5,15.5,3,3,100,90,1,1,1,1,5,NA,0,NA,0,0,0.5,0.4,5,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,0,0,0,1,3,3,4,1,0,0,1,0,0,1,3,1,4,3,6,0,2250,10,180,0,1,37.8687376161299,68.7838535138334,-2156.92228932474,-71.1518536286009,2870.85404868237,3808.1571603382,3.15562342472065,2.65399895326878,4,4
"226",226,226,485,1,0,47.5,15.5,1,4,5,90,1,2,0,2,NA,8,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,1,1,1,2,3,3,3,1,0,1,0,0,0,0,4,2,5,4,4,0,1250,10,45,0,0,48.3377272127679,79.5526833601192,-4548.79489536815,-190.348621874606,3970.72373110044,4707.47642442027,2.71605601925674,1.49974062578949,4,3
"227",227,227,636,0,0,47.5,50,1,1,100,10,0,0,1,2,6,NA,1,NA,1,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,1,2,4,4,5,0,1,0,1,1,0,0,4,2,4,1,6,0,1250,10,20,1,0,45.5281450637127,81.4492955777848,-1512.34066701453,-56.8232238198177,2350.80159495937,4177.47096287124,2.36701821101563,2.77458088847635,4,4
"228",228,228,236,1,1,32.5,15.5,2,4,20,100,1,2,1,2,7,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,1,0,0,1,2,4,3,4,2,1,1,0,0,0,1,2,0,4,3,6,1,2750,6,200,1,1,42.5444025308057,73.303702092333,-339.543001772168,-50.6461891379899,4729.3238897144,4778.99206011696,2.75836435580516,2.70957514139707,4,4
"229",229,229,265,0,1,47.5,1,3,4,5,80,1,2,0,2,NA,7,NA,0,1,3,0.1,0.1,2.5,1,0.05,0.4,2.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,1,1,1,1,1,3,3,3,1,0,1,1,0,0,1,2,2,4,2,6,1,2750,9,40,0,1,38.9868975693275,67.9488217961596,-4170.63410173891,-126.622993181717,3416.76885411973,4510.23839017359,2.43219829557803,1.36657130970822,4,2
"230",230,230,966,1,1,63,35,2,2,20,5,0,1,1,1,0,NA,1,NA,1,1,0.5,0.9,1,0,0.1,0.1,0.5,2,0.1,0.9,5,3,0.05,0.1,5,1,0,1,0,1,2,3,3,1,1,1,1,0,0,1,3,2,4,2,2,0,750,10,10,1,0,39.2037323096456,70.5740248457468,-2602.59456838002,-22.6982088325724,3293.79516207435,4462.24676693141,1.25801153956233,1.94713256903566,2,3
